"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish","HDB.Town"
"852","Corals At Keppel Bay","Condominium","$6,348,000","$2,458 psf (Built-up)","2016","Condominium","Keppel Bay Pte Ltd","5 Keppel Bay Drive (098014)","D4 - Sentosa / Harbourfront","4+1","4","MID","2,583 sqft (Built-up)","LEASEHOLD/99 years","366","Clubhouse | Water Feature | Bbq Area | Public Promenade | Pathway / Forest Walk | Tennis Court | Jacuzzi / Hydro Spa | Kid's Pool / Splash Pool With Jumping Jets | Play Area | Changing Rooms | 50M Lap Pool | Reflective Pools | Corner Unit | Sea View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"853","Northwave","Condominium","$798,000","$713 psf (Built-up)",NA,"Condominium","Hao Yuan (Woodlands) Pte Ltd","105 Woodlands View (737710)","D25 - Admiralty / Woodlands","3+1","3","HIGH","1,119 sqft (Built-up)","LEASEHOLD/99 years","358","Corner Unit | Park/greenery View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"854","Northwave","Condominium","$713,000","$712 psf (Built-up)","2019","Condominium","Hao Yuan (Woodlands) Pte Ltd","109 Woodlands View (737712)","D25 - Admiralty / Woodlands","3","3","HIGH","1,001 sqft (Built-up)","LEASEHOLD/99 years","358","Corner Unit | Park/greenery View | Swimming Pool View | City View | Renovated | Original Condition | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Hairdryer | Balcony | Walk-in-wardrobe | Maidsroom","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"855","Signature At Yishun","Condominium","$690,000","$729 psf (Built-up)",NA,"Condominium","Gee-I Investments Pte. Ltd.","27 Yishun Street 51 (768088)","D27 - Sembawang / Yishun","3","2",NA,"947 sqft (Built-up)","LEASEHOLD/99 years","525","Corner Unit | Park/greenery View | Original Condition | Renovated | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"856","Woodlands Drive 50","HDB 5 Rooms","$450,000","$354 psf (Built-up)","1997","Improved",NA,"899B Woodlands Drive 50 (731899)",NA,"3+1","2","HIGH","118 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Park/greenery View | Air Conditioning | Cooker Hob/hood | Balcony","Neeza Ali","Partially Furnished","Woodlands"
"857","MARSILING LANE","HDB 4 Rooms","$420,000","$420 psf (Built-up)","2013","Model A",NA,"12A MARSILING LANE (731012)",NA,"3+1","2","HIGH","93 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Park/greenery View | Water Heater | Cooker Hob/hood | Air Conditioning | Bombshelter","Neeza Ali","Partially Furnished","Woodlands"
"858","Thomson Grand","Condominium","$2,500,000","$1,461 psf (Built-up)","2015","Condominium","Cheung Kong Group- Luxury Green Development Pte Ltd","25 Sin Ming Walk (573917)","D20 - Ang Mo Kio / Bishan / Thomson","4","4",NA,"1,711 sqft (Built-up)","LEASEHOLD/99 years","339","1 Basement Carpark | Swimming Pool | Air Conditioning | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Bombshelter | Balcony","Ethel Yeo","Partially Furnished",NA
"859","Soleil @ Sinaran","Condominium","$2,750,000","$1,893 psf (Built-up)","2011","Condominium","Riverside Investments Pte Ltd","2 Sinaran Drive (307467)","D11 - Newton / Novena","3",NA,NA,"1,453 sqft (Built-up)","LEASEHOLD/99 years","417","Gymnasium | Tennis Court | Fitness Area | Landscaped Garden | Securities | Swimming Pool | Wadpool | Air Conditioning | Water Heater | Wardrobe | Air-conditioning | Kitchen | Flooring For Bedroom | Flooring For Living/dining","Ethel Yeo",NA,NA
"860","Gem Residences","Condominium","$1,698,212","$1,360 psf (Built-up)","2019","Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","4+1","3","HIGH","1,249 sqft (Built-up)","LEASEHOLD/99 years","578","City View | Renovated | Corner Unit | Original Condition | Park/greenery View | Swimming Pool View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"861","Gem Residences","Condominium","$1,405,000","$1,484 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3","3","HIGH","947 sqft (Built-up)","LEASEHOLD/99 years","578","Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Water Heater | Intercom | Jacuzzi | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
