"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish","HDB.Town"
"1","Laverne's Loft","Apartment","$1,300,000","$1,041 psf (Built-up)","2013","Penthouse","Asimont Holdings Pte Ltd","66 Lorong L Telok Kurau (425509)","D15 - East Coast / Marine Parade","2","2","05","1,249 sqft (Built-up)","FREEHOLD","44","Renovated | City View | Jacuzzi | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Steven Lau",NA,NA
"2","Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3","1","09","947 sqft (Built-up)","LEASEHOLD/99 years","578","City View | Original Condition | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"3","Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,"28","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",NA,NA
"4","Queens Peak","Condominium","$1,368,000","$1,765 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","22","775 sqft (Built-up)","LEASEHOLD/99 years","736","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"5","Duo Residences","Apartment","$4,215,100","$2,759 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3","3","40","1,528 sqft (Built-up)","LEASEHOLD/99 years","660","Aqua Gym Equipment | 50M Lap Pool With Spa Seats | Teppanyaki Terraces | Kid's Play Area | Function Room | Reflective Pool | Outdoor Living Room | Sky Pool | Patio Gym | Gymnasium | Children's Pool | Jacuzzi | Sun Deck | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"6","Queens Peak","Condominium","$1,423,000","$1,503 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3","2","24","947 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | Renovated | City View | Air Conditioning | Cooker Hob/hood | Private Lift | Balcony","Kane Seow K H",NA,NA
"7","Queens Peak","Condominium","$1,229,000","$1,586 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","2","2","24","775 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Kane Seow K H",NA,NA
"8","Gem Residences","Condominium","$1,640,000","$1,732 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3","2","26","947 sqft (Built-up)","LEASEHOLD/99 years","578","Park/greenery View | Renovated | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony","Kane Seow K H",NA,NA
"9","Marina One Residences","Apartment","$3,577,000","$2,356 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","21","1,518 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | Park/greenery View | Sea View | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Private Lift | Bathtub | Balcony | Walk-in-wardrobe | Maidsroom","Cynthia Lee","Partially Furnished",NA
"10","Queens Peak","Condominium","$1,368,000","$1,765 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","22","775 sqft (Built-up)","LEASEHOLD/99 years","736","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"11","Duo Residences","Apartment","$4,040,000","$2,097 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4","4","48","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Aqua Gym Equipment | Children's Pool | Sky Pool | Outdoor Living Room | Teppanyaki Terraces | Gymnasium | Reflective Pool | Sun Deck | 50M Lap Pool With Spa Seats | Kid's Play Area | Jacuzzi | Patio Gym | Function Room | Corner Unit | City View | Colonial Building | Swimming Pool View | Sea View | Park/greenery View | Air Conditioning | Cooker Hob/hood | Bathtub | Water Heater | Intercom | Balcony | Maidsroom","Cynthia Lee","Partially Furnished",NA
"12","Duo Residences","Apartment","$4,797,900","$3,140 psf (Built-up)",NA,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4","3","43","1,528 sqft (Built-up)","LEASEHOLD/99 years","660","Sky Pool | Patio Gym | Children's Pool | Reflective Pool | Sun Deck | 50M Lap Pool With Spa Seats | Kid's Play Area | Teppanyaki Terraces | Aqua Gym Equipment | Jacuzzi | Outdoor Living Room | Gymnasium | Function Room | City View | Original Condition | Park/greenery View | Air Conditioning | Cooker Hob/hood | Intercom | Jacuzzi | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"13","Duo Residences","Apartment","$3,727,232","$1,934 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4+1","4","47","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Jacuzzi | Function Room | Reflective Pool | Teppanyaki Terraces | Outdoor Living Room | Sun Deck | 50M Lap Pool With Spa Seats | Sky Pool | Kid's Play Area | Children's Pool | Gymnasium | Patio Gym | Aqua Gym Equipment | Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Partially Furnished",NA
"14","6 Derbyshire","Condominium","$1,774,128","$3,743 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","11","474 sqft (Built-up)","FREEHOLD","168","Simming Pool | Children Playground | Bbq Pits | Gymnasium | Pavilion | Spa Pool | Reflective Pool | Community Sky Garden | Park/greenery View | Original Condition | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Not Furnished",NA
"15","Kingsford Waterbay","Apartment","$967,877","$1,428 psf (Built-up)","2017","Apartment","Kingsford Property Development Pte Ltd","64 Upper Serangoon View (533886)","D19 - Hougang / Punggol / Sengkang","2","2","02","678 sqft (Built-up)","LEASEHOLD/99 years","1165","Park/greenery View | Original Condition | Hairdryer | Water Heater | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"16","6 Derbyshire","Condominium","$1,774,128","$3,743 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","14","474 sqft (Built-up)","FREEHOLD","168","Bbq Pits | Children Playground | Reflective Pool | Pavilion | Gymnasium | Spa Pool | Community Sky Garden | Simming Pool | Renovated | Park/greenery View | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Not Furnished",NA
"17","Kingsford Waterbay","Apartment","$1,115,341","$1,312 psf (Built-up)","2017","Apartment","Kingsford Property Development Pte Ltd","64 Upper Serangoon View (533886)","D19 - Hougang / Punggol / Sengkang","3","2","08","850 sqft (Built-up)","LEASEHOLD/99 years","1165","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"18","Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3","2","09","947 sqft (Built-up)","LEASEHOLD/99 years","578","Original Condition | Park/greenery View | Swimming Pool View | Intercom | Water Heater | Air Conditioning | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"19","Duo Residences","Apartment","$4,347,088","$2,361 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4","3","41","1,841 sqft (Built-up)","LEASEHOLD/99 years","660","Gymnasium | 50M Lap Pool With Spa Seats | Sky Pool | Outdoor Living Room | Function Room | Children's Pool | Patio Gym | Kid's Play Area | Teppanyaki Terraces | Reflective Pool | Sun Deck | Jacuzzi | Aqua Gym Equipment | Original Condition | City View | Air Conditioning | Intercom | Cooker Hob/hood | Balcony","Alex Goh","Partially Furnished",NA
"20","6 Derbyshire","Condominium","$1,082,000","$2,283 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","24","474 sqft (Built-up)","FREEHOLD","168","Community Sky Garden | Children Playground | Simming Pool | Reflective Pool | Spa Pool | Bbq Pits | Pavilion | Gymnasium | Swimming Pool View | Renovated | Park/greenery View | City View | Air Conditioning | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Kane Seow K H","Partially Furnished",NA
"21","Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","28","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Park/greenery View | Original Condition | Intercom | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"22","The Crest","Condominium","$3,033,000","$1,829 psf (Built-up)","2018","Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","4","4","13","1,658 sqft (Built-up)","LEASEHOLD/99 years","469","Park/greenery View | Original Condition | Corner Unit | Intercom | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished",NA
"23","Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)","2017","Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","11 Mount Sophia (228461)","D9 - Orchard / River Valley","3","2","04","958 sqft (Built-up)","LEASEHOLD/99 years","493","Clubhouse Drop-off Plaza | Management Office | Conserved Building: Restaurant | Sunning Deck | Conserved Building: Childcare/kindergarten | Multi-purpose Media Room | Lounge | Lagoon Pool | Adventure Playground | Timber Deck | Male And Female Changing And Steam Rooms | Bio-pond | Substation | Children's Pool | Residents' Side Gate | The Sophia Grand Staircase | 50M Lap Pool | Gymnasium | Seating Corner | Water Wall | Water Cascades | Steps Cascades | The Sophia Mirror Pool | Mountain Terraces | Guardhouse | Fitness Stations | Yoga Decks | Jacuzzi | Main Entrance Drop-off Plaza | Bbq Corner | Jogging Path | Function Rooms | Children's Water Play | Vantage Deck | Reflective Pool | Toddler's Playground | Games Room | Internet Corner | Bin Centre | Pavilion | Childcare Drop-off Plaza | Park/greenery View | Original Condition | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"24","Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)","2017","Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","11 Mount Sophia (228461)","D9 - Orchard / River Valley","3","2","04","958 sqft (Built-up)","LEASEHOLD/99 years","493","Clubhouse Drop-off Plaza | Mountain Terraces | Toddler's Playground | Pavilion | Children's Water Play | Lagoon Pool | The Sophia Mirror Pool | Guardhouse | Steps Cascades | Function Rooms | Yoga Decks | Adventure Playground | Children's Pool | Vantage Deck | 50M Lap Pool | Water Wall | Bio-pond | Substation | The Sophia Grand Staircase | Timber Deck | Fitness Stations | Jacuzzi | Childcare Drop-off Plaza | Male And Female Changing And Steam Rooms | Conserved Building: Childcare/kindergarten | Bin Centre | Games Room | Seating Corner | Gymnasium | Bbq Corner | Multi-purpose Media Room | Internet Corner | Management Office | Sunning Deck | Conserved Building: Restaurant | Jogging Path | Lounge | Residents' Side Gate | Reflective Pool | Main Entrance Drop-off Plaza | Water Cascades | Park/greenery View | Original Condition | City View | Water Heater | Air Conditioning | Cooker Hob/hood | Intercom | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian","Partially Furnished",NA
"25","V on Shenton","Apartment","$3,888,000","$2,215 psf (Built-up)","2017","Apartment","UIC Investments (Properties) Pte Ltd","5 Shenton Way (068808)","D1 - Boat Quay / Raffles Place / Marina","3",NA,"40","1,755 sqft (Built-up)","LEASEHOLD/99 years","510","Spa Pool | Cloves Hedge | Bubbly Bay | Epicurean Dining | Cinnamon Scent | Outback Grill | Aqua Gym | Outdoor Fitness | Spice Botanics | Day Bed Island | Garden Lounge | Playscape | Club Lounge | Indoor Gymnasium | Surf Lounge | Junior Pool | Splash Zone | Refreshment Bar | Sun Deck | City View | Air Conditioning | Cooker Hob/hood | Bathtub | Balcony","Mike Toh",NA,NA
"26","The Crest","Condominium","$1,803,000","$1,926 psf (Built-up)","2018","Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","2","2","13","936 sqft (Built-up)","LEASEHOLD/99 years","469","Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished",NA
"27","Corals At Keppel Bay","Condominium","$1,539,000","$2,270 psf (Built-up)","2018","Condominium","Keppel Bay Pte Ltd","19 Keppel Bay Drive (098021)","D4 - Sentosa / Harbourfront","1","5","04","678 sqft (Built-up)","LEASEHOLD/99 years","366","Changing Rooms | Pathway / Forest Walk | Clubhouse | Water Feature | Bbq Area | Play Area | Tennis Court | 50M Lap Pool | Reflective Pools | Kid's Pool / Splash Pool With Jumping Jets | Jacuzzi / Hydro Spa | Public Promenade | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Henry Lim (MBA, EXPERT-SRX)","Not Furnished",NA
"28","Corals At Keppel Bay","Condominium","$1,539,000","$2,270 psf (Built-up)","2018","Condominium","Keppel Bay Pte Ltd","19 Keppel Bay Drive (098021)","D4 - Sentosa / Harbourfront","1","2","04","678 sqft (Built-up)","LEASEHOLD/99 years","366","Kid's Pool / Splash Pool With Jumping Jets | Play Area | Clubhouse | Bbq Area | 50M Lap Pool | Jacuzzi / Hydro Spa | Water Feature | Reflective Pools | Changing Rooms | Tennis Court | Pathway / Forest Walk | Public Promenade | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian","Not Furnished",NA
"29","Queens Peak","Condominium","$1,696,000","$1,694 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3",NA,"31","1,001 sqft (Built-up)","LEASEHOLD/99 years","736","Park/greenery View | City View | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Iris Sim",NA,NA
"30","Marina One Residences","Apartment","$2,520,550","$2,209 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","2","06","1,141 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | City View | Renovated | Air Conditioning | Water Heater | Intercom | Hairdryer | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"31","Marina One Residences","Apartment","$5,325,800","$2,367 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","23 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4+1","4","30","2,250 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Hairdryer | Water Heater | Intercom | Cooker Hob/hood | Private Lift | Maidsroom | Balcony | Walk-in-wardrobe | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales","Partially Furnished",NA
"32","Marina One Residences","Apartment","$3,642,168","$2,399 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","30","1,518 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"33","V on Shenton","Apartment","$4,521,000","$2,561 psf (Built-up)",NA,"Apartment","UIC Investments (Properties) Pte Ltd","5 Shenton Way (068808)","D1 - Boat Quay / Raffles Place / Marina","3",NA,"49","1,765 sqft (Built-up)","LEASEHOLD/99 years","510","Outback Grill | Sun Deck | Splash Zone | Playscape | Day Bed Island | Epicurean Dining | Outdoor Fitness | Surf Lounge | Cloves Hedge | Aqua Gym | Indoor Gymnasium | Club Lounge | Junior Pool | Refreshment Bar | Bubbly Bay | Spice Botanics | Garden Lounge | Cinnamon Scent | Spa Pool | Renovated | City View | Sea View | Park/greenery View | Corner Unit | Water Heater | Intercom | Air Conditioning | Cooker Hob/hood | Balcony","Neeza Ali",NA,NA
"34","Duo Residences","Apartment","$3,510,000","$1,821 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3+1","1","40","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Reflective Pool | Kid's Play Area | 50M Lap Pool With Spa Seats | Patio Gym | Teppanyaki Terraces | Gymnasium | Function Room | Sun Deck | Outdoor Living Room | Children's Pool | Sky Pool | Jacuzzi | Aqua Gym Equipment | Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"35","Leonie Parc View","Apartment","$11,888,888","$1,822 psf (Built-up)","2009","Apartment","SB (Orchard) Development Pte Ltd","22 Leonie Hill Road (239195)","D9 - Orchard / River Valley","5+1",NA,"28","6,524 sqft (Built-up)","FREEHOLD","44","Park/greenery View | Renovated | City View | Air Conditioning | Cooker Hob/hood | Intercom | Private Pool | Bathtub | Hairdryer | Jacuzzi | Water Heater | Private Lift | Balcony | Bombshelter | Maidsroom | Terrace | Outdoor Patio | Roof Terrace | Walk-in-wardrobe | Garage","Tony Tay Soo Tong",NA,NA
"36","Queens Peak","Condominium","$3,123,000","$1,559 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","5","4","29","2,003 sqft (Built-up)","LEASEHOLD/99 years","736","Bathtub | Hairdryer | Water Heater | Intercom | Air Conditioning | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Jane He","Partially Furnished",NA
"37","Marina One Residences","Apartment","$2,550,000","$2,257 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","18","1,130 sqft (Built-up)","LEASEHOLD/99 years","1042","Original Condition | City View | Air Conditioning | Intercom | Water Heater | Private Lift | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Alex Goh","Partially Furnished",NA
"38","Duo Residences","Apartment","$4,128,300","$2,142 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",NA,"36","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Sky Pool | Sun Deck | Kid's Play Area | Function Room | Jacuzzi | Outdoor Living Room | Children's Pool | Teppanyaki Terraces | Gymnasium | 50M Lap Pool With Spa Seats | Patio Gym | Reflective Pool | Aqua Gym Equipment | Sea View | City View | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Raycher Lim",NA,NA
"39","Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)",NA,"Apartment","Kingsford Property Development Pte Ltd","78 Upper Serangoon View (533879)","D19 - Hougang / Punggol / Sengkang","3",NA,"08","850 sqft (Built-up)","LEASEHOLD/99 years","1165","Swimming Pool View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Maidsroom | Balcony","Syafiq Focus",NA,NA
"40","Marina One Residences","Apartment","$2,750,000","$2,458 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,"31","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Swimming Pool View | Park/greenery View | Sea View | City View | Corner Unit | Renovated | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Adrian Chong",NA,NA
"41","6 Derbyshire","Condominium","$1,189,000","$2,256 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","07","527 sqft (Built-up)","FREEHOLD","168","Community Sky Garden | Reflective Pool | Bbq Pits | Gymnasium | Simming Pool | Pavilion | Spa Pool | Children Playground | City View | Renovated | Air Conditioning | Cooker Hob/hood | Water Heater | Intercom | Balcony","Syafiq Focus","Fully Furnished",NA
"42","6 Derbyshire","Condominium","$1,774,128","$2,140 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","2",NA,"18","829 sqft (Built-up)","FREEHOLD","168","Children Playground | Reflective Pool | Bbq Pits | Spa Pool | Simming Pool | Pavilion | Gymnasium | Community Sky Garden | Corner Unit | City View | Sea View | Swimming Pool View | Original Condition | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Balcony","John Ong",NA,NA
"43","Marina One Residences","Apartment","$3,558,180","$2,312 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","2","04","1,539 sqft (Built-up)","LEASEHOLD/99 years","1042","Park/greenery View | Sea View | City View | Swimming Pool View | Air Conditioning | Corner Unit | Private Pool | Intercom | Cooker Hob/hood | Air Conditioning | Balcony | Roof Terrace | Outdoor Patio | Private Garden | Terrace | Walk-in-wardrobe","Ryner Koh","Partially Furnished",NA
"44","The Crest","Condominium","$3,130,000","$1,806 psf (Built-up)","2017","Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","4",NA,"23","1,733 sqft (Built-up)","LEASEHOLD/99 years","469","Swimming Pool View | Renovated | Corner Unit | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Koh Li Li",NA,NA
"45","Gem Residences","Condominium","$1,760,000","$1,409 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","4","3","18","1,249 sqft (Built-up)","LEASEHOLD/99 years","578","Swimming Pool View | Renovated | Cooker Hob/hood | Air Conditioning | Balcony | Roof Terrace","Nicholas Woo W Z","Partially Furnished",NA
"46","Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)","2018","Apartment","Kingsford Property Development Pte Ltd","78 Upper Serangoon View (533879)","D19 - Hougang / Punggol / Sengkang","3","2","08","850 sqft (Built-up)","LEASEHOLD/99 years","1165","Renovated | Swimming Pool View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Sn Jana","Partially Furnished",NA
"47","The Crest","Condominium","$3,014,000","$1,917 psf (Built-up)","2017","Condominium","Wingcrown Investment Pte Ltd","105 Prince Charles Crescent (159019)","D3 - Alexandra / Commonwealth","3","2","04","1,572 sqft (Built-up)","LEASEHOLD/99 years","469","Corner Unit | Renovated | Water Heater | Air Conditioning | Cooker Hob/hood | Intercom | Balcony | Walk-in-wardrobe","Alfa Chua","Fully Furnished",NA
"48","Queens Peak","Condominium","$1,718,000","$1,716 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3",NA,"34","1,001 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Balcony","Alfa Chua",NA,NA
"49","Marina One Residences","Apartment","$2,676,230","$2,368 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","23","1,130 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Park/greenery View | Air Conditioning | Sea View | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Private Lift | Balcony | Walk-in-wardrobe","Eric Kang","Partially Furnished",NA
"50","Marina One Residences","Apartment","$2,430,100","$2,130 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","04","1,141 sqft (Built-up)","LEASEHOLD/99 years","1042","Air Conditioning | Park/greenery View | City View | Water Heater | Air Conditioning | Jacuzzi | Balcony | Garage | Private Garden","Ryner Koh","Partially Furnished",NA
"51","Marina One Residences","Apartment","$5,528,000","$2,457 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4","4","07","2,250 sqft (Built-up)","LEASEHOLD/99 years","1042","Park/greenery View | Sea View | City View | Air Conditioning | Corner Unit | Private Pool | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Private Garden | Walk-in-wardrobe | Terrace | Garage","Ryner Koh","Partially Furnished",NA
