"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
592,"The Crest","Condominium","$1,967,000","$1,618 psf (Built-up)",2017,"Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","3",2,"Partially Furnished","LOW","1,216 sqft (Built-up)","LEASEHOLD/99 years",469,"Corner Unit | Park/greenery View | Original Condition | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Raycher Lim",540,NA,1.2926928,103.8204034,"premise"
593,"The Oceanfront @ Sentosa Cove","Condominium","$2,300,000","$1,295 psf (Built-up)",2010,"Condominium","TC Development Pte Ltd","297 Ocean Drive (098535)","D4 - Sentosa / Harbourfront","2",NA,NA,NA,"1,776 sqft (Built-up)","LEASEHOLD/99 years",264,"Corner Unit | Air Conditioning | Cooker Hob/hood | Bathtub | Water Heater | Private Lift | Intercom","Kristyn Peh",NA,NA,1.244311,103.842692,"street_address"
594,"Amber Skye","Apartment","$2,249,430","$2,010 psf (Built-up)",2017,"Apartment","CS Amber Development Pte. Ltd.","8 Amber Road (439853)","D15 - East Coast / Marine Parade","2",NA,NA,NA,"1,119 sqft (Built-up)","FREEHOLD",109,"Bbq Area | Pool Deck | Guard House | Feature Green Wall | Drop Off And Waiting Area | Dining Pavilion | Main Entrance | Clubhouse | Steam Room | Sky Terrace | Kid's Pool | Poolside Shower | Jacuzzi | 48M Lap Pool | Poolside Water Feature | Gym | Hammock Lounge | Cascade Planter | Children's Topo Playground | Drop Off Water Feature | Park/greenery View | Corner Unit | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater","Terence Lee",70,NA,1.2995714,103.8982227,"establishment"
595,"Northwave","Condominium","$686,100","$768 psf (Built-up)",NA,"Condominium","Hao Yuan (Woodlands) Pte Ltd","109 Woodlands View (737712)","D25 - Admiralty / Woodlands","3",3,"Not Furnished","HIGH","893 sqft (Built-up)","LEASEHOLD/99 years",358,"Corner Unit | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",1080,NA,1.3828123,103.7593558,"street_address"
596,"Symphony Suites","Condominium","$1,000,000","$1,093 psf (Built-up)",NA,"Condominium","EL Development (Yishun) Pte Ltd","19 Yishun Close (768013)","D27 - Sembawang / Yishun","3",3,NA,"HIGH","915 sqft (Built-up)","LEASEHOLD/99 years",660,"Corner Unit | Air Conditioning | Cooker Hob/hood | Water Heater","Joshua Koh",1220,NA,1.4303637,103.8303541,"street_address"
597,"Marina One Residences","Apartment","$2,550,750","$2,257 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",2,"Partially Furnished","HIGH","1,130 sqft (Built-up)","LEASEHOLD/99 years",1042,"Swimming Pool View | Park/greenery View | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Joshua Koh",140,NA,1.280042,103.855291,"establishment"
598,"Marina One Residences","Apartment","$2,594,450","$2,319 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",2,"Partially Furnished","HIGH","1,119 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony","Joshua Koh",140,NA,1.280042,103.855291,"establishment"
599,"Sturdee Residences","Condominium","$1,325,800","$1,400 psf (Built-up)",NA,"Condominium","SL Capital (1) Pte Ltd","10 Beatty Road (209955)","D8 - Farrer Park / Serangoon Rd","3",2,"Partially Furnished","HIGH","947 sqft (Built-up)","LEASEHOLD/99 years",305,"Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",360,NA,1.3137756,103.8591692,"street_address"
600,"Forte Suites","Apartment","$1,217,900","$1,952 psf (Built-up)",2016,"Apartment","Forte Development Pte. Ltd.","88 Mergui Road (219062)","D8 - Farrer Park / Serangoon Rd","3",2,"Partially Furnished","HIGH","624 sqft (Built-up)","FREEHOLD",106,"Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",630,NA,1.3178465,103.8519437,"street_address"
601,"Marina One Residences","Apartment","$3,577,710","$2,325 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",3,"Partially Furnished","HIGH","1,539 sqft (Built-up)","LEASEHOLD/99 years",1042,"Swimming Pool View | Park/greenery View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",140,NA,1.280042,103.855291,"establishment"
