"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
1,"Marina One Residences","Apartment","$2,750,000","$2,480 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",2,"Not Furnished","31","1,109 sqft (Built-up)","LEASEHOLD/99 years",1042,"Swimming Pool View | Park/greenery View | Sea View | City View | Corner Unit | Renovated | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Adrian Chong",140,NA,1.280042,103.855291,"establishment"
2,"V on Shenton","Apartment","$3,888,000","$2,215 psf (Built-up)",2017,"Apartment","UIC Investments (Properties) Pte Ltd","5 Shenton Way (068808)","D1 - Boat Quay / Raffles Place / Marina","3",NA,NA,"40","1,755 sqft (Built-up)","LEASEHOLD/99 years",510,"Spice Botanics | Spa Pool | Club Lounge | Indoor Gymnasium | Refreshment Bar | Cinnamon Scent | Playscape | Outback Grill | Outdoor Fitness | Garden Lounge | Day Bed Island | Epicurean Dining | Surf Lounge | Bubbly Bay | Sun Deck | Splash Zone | Junior Pool | Aqua Gym | Cloves Hedge | City View | Air Conditioning | Cooker Hob/hood | Bathtub | Balcony","Mike Toh",100,NA,1.2775413,103.8493895,"street_address"
3,"Duo Residences","Apartment","$4,128,300","$2,142 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",NA,NA,"36","1,927 sqft (Built-up)","LEASEHOLD/99 years",660,"Sky Pool | Aqua Gym Equipment | Children's Pool | Jacuzzi | 50M Lap Pool With Spa Seats | Reflective Pool | Teppanyaki Terraces | Patio Gym | Gymnasium | Function Room | Sun Deck | Outdoor Living Room | Kid's Play Area | Sea View | City View | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Raycher Lim",160,NA,1.2997066,103.8582392,"street_address"
4,"Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,NA,"28","1,119 sqft (Built-up)","LEASEHOLD/99 years",1042,"Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",140,NA,1.280042,103.855291,"establishment"
5,"Queens Peak","Condominium","$1,556,000","$2,008 psf (Built-up)",2020,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2",2,"Partially Furnished","22","775 sqft (Built-up)","LEASEHOLD/99 years",736,"Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",90,NA,1.2950313,103.8070953,"street_address"
6,"Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)",2020,"Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3",1,"Partially Furnished","09","947 sqft (Built-up)","LEASEHOLD/99 years",578,"City View | Original Condition | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",530,NA,1.3336887,103.8531666,"street_address"
7,"Duo Residences","Apartment","$4,215,100","$2,759 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3",3,"Partially Furnished","40","1,528 sqft (Built-up)","LEASEHOLD/99 years",660,"Reflective Pool | Function Room | Sun Deck | Gymnasium | 50M Lap Pool With Spa Seats | Patio Gym | Sky Pool | Teppanyaki Terraces | Kid's Play Area | Children's Pool | Outdoor Living Room | Jacuzzi | Aqua Gym Equipment | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",160,NA,1.2997066,103.8582392,"street_address"
8,"Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)",NA,"Apartment","Kingsford Property Development Pte Ltd","78 Upper Serangoon View (533879)","D19 - Hougang / Punggol / Sengkang","3",NA,NA,"08","850 sqft (Built-up)","LEASEHOLD/99 years",1165,"Swimming Pool View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Maidsroom | Balcony","Syafiq Focus",970,NA,1.3738557,103.9022723,"street_address"
9,"Gem Residences","Condominium","$1,640,000","$1,732 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3",2,NA,"26","947 sqft (Built-up)","LEASEHOLD/99 years",578,"Park/greenery View | Renovated | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony","Kane Seow K H",570,NA,1.3336887,103.8531666,"street_address"
10,"Queens Peak","Condominium","$1,229,000","$1,586 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","2",2,NA,"24","775 sqft (Built-up)","LEASEHOLD/99 years",736,"Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Kane Seow K H",120,NA,1.2950313,103.8070953,"street_address"
11,"Queens Peak","Condominium","$1,423,000","$1,503 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3",2,NA,"24","947 sqft (Built-up)","LEASEHOLD/99 years",736,"Corner Unit | Renovated | City View | Air Conditioning | Cooker Hob/hood | Private Lift | Balcony","Kane Seow K H",90,NA,1.2950313,103.8070953,"street_address"
12,"Marina One Residences","Apartment","$3,577,000","$2,356 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",3,"Partially Furnished","21","1,518 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | Park/greenery View | Sea View | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Private Lift | Bathtub | Balcony | Walk-in-wardrobe | Maidsroom","Cynthia Lee",140,NA,1.280042,103.855291,"establishment"
13,"Queens Peak","Condominium","$1,556,000","$2,008 psf (Built-up)",2020,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2",2,"Partially Furnished","22","775 sqft (Built-up)","LEASEHOLD/99 years",736,"Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",90,NA,1.2950313,103.8070953,"street_address"
14,"Duo Residences","Apartment","$4,040,000","$2,097 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",4,"Partially Furnished","48","1,927 sqft (Built-up)","LEASEHOLD/99 years",660,"Sky Pool | 50M Lap Pool With Spa Seats | Teppanyaki Terraces | Kid's Play Area | Outdoor Living Room | Patio Gym | Aqua Gym Equipment | Children's Pool | Function Room | Gymnasium | Reflective Pool | Sun Deck | Jacuzzi | Corner Unit | City View | Colonial Building | Swimming Pool View | Sea View | Park/greenery View | Air Conditioning | Cooker Hob/hood | Bathtub | Water Heater | Intercom | Balcony | Maidsroom","Cynthia Lee",160,NA,1.2997066,103.8582392,"street_address"
15,"Duo Residences","Apartment","$4,797,900","$3,140 psf (Built-up)",NA,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",3,"Partially Furnished","43","1,528 sqft (Built-up)","LEASEHOLD/99 years",660,"Teppanyaki Terraces | Sky Pool | Aqua Gym Equipment | Jacuzzi | Gymnasium | Children's Pool | Reflective Pool | Patio Gym | Kid's Play Area | 50M Lap Pool With Spa Seats | Function Room | Outdoor Living Room | Sun Deck | City View | Original Condition | Park/greenery View | Air Conditioning | Cooker Hob/hood | Intercom | Jacuzzi | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",160,NA,1.2997066,103.8582392,"street_address"
16,"Duo Residences","Apartment","$3,727,232","$1,934 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4+1",4,"Partially Furnished","47","1,927 sqft (Built-up)","LEASEHOLD/99 years",660,"Aqua Gym Equipment | Patio Gym | Outdoor Living Room | Function Room | Teppanyaki Terraces | Kid's Play Area | Reflective Pool | Jacuzzi | 50M Lap Pool With Spa Seats | Sky Pool | Gymnasium | Sun Deck | Children's Pool | Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales",160,NA,1.2997066,103.8582392,"street_address"
17,"6 Derbyshire","Condominium","$1,189,000","$2,256 psf (Built-up)",2017,"Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1",1,"Fully Furnished","07","527 sqft (Built-up)","FREEHOLD",168,"Gymnasium | Children Playground | Simming Pool | Reflective Pool | Pavilion | Spa Pool | Community Sky Garden | Bbq Pits | City View | Renovated | Air Conditioning | Cooker Hob/hood | Water Heater | Intercom | Balcony","Syafiq Focus",590,NA,1.3157339,103.8459614,"street_address"
18,"6 Derbyshire","Condominium","$1,774,128","$3,743 psf (Built-up)",2017,"Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1",1,"Not Furnished","11","474 sqft (Built-up)","FREEHOLD",168,"Bbq Pits | Pavilion | Community Sky Garden | Children Playground | Simming Pool | Spa Pool | Gymnasium | Reflective Pool | Park/greenery View | Original Condition | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",590,NA,1.3157339,103.8459614,"street_address"
19,"6 Derbyshire","Condominium","$1,774,128","$2,140 psf (Built-up)",2017,"Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","2",NA,NA,"18","829 sqft (Built-up)","FREEHOLD",168,"Simming Pool | Spa Pool | Gymnasium | Community Sky Garden | Pavilion | Children Playground | Bbq Pits | Reflective Pool | Corner Unit | City View | Sea View | Swimming Pool View | Original Condition | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Balcony","John Ong",590,NA,1.3157339,103.8459614,"street_address"
20,"Kingsford Waterbay","Apartment","$978,000","$1,442 psf (Built-up)",2017,"Apartment","Kingsford Property Development Pte Ltd","64 Upper Serangoon View (533886)","D19 - Hougang / Punggol / Sengkang","2",2,"Partially Furnished","02","678 sqft (Built-up)","LEASEHOLD/99 years",1165,"Park/greenery View | Original Condition | Hairdryer | Water Heater | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",1060,NA,1.3738557,103.9022723,"street_address"
21,"Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)",2020,"Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3",2,"Partially Furnished","09","947 sqft (Built-up)","LEASEHOLD/99 years",578,"Original Condition | Park/greenery View | Swimming Pool View | Intercom | Water Heater | Air Conditioning | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",530,NA,1.3336887,103.8531666,"street_address"
22,"Kingsford Waterbay","Apartment","$1,142,000","$1,344 psf (Built-up)",2017,"Apartment","Kingsford Property Development Pte Ltd","64 Upper Serangoon View (533886)","D19 - Hougang / Punggol / Sengkang","3",2,"Partially Furnished","08","850 sqft (Built-up)","LEASEHOLD/99 years",1165,"Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",1060,NA,1.3738557,103.9022723,"street_address"
23,"6 Derbyshire","Condominium","$1,774,128","$3,743 psf (Built-up)",2017,"Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1",1,"Not Furnished","14","474 sqft (Built-up)","FREEHOLD",168,"Reflective Pool | Children Playground | Simming Pool | Pavilion | Bbq Pits | Gymnasium | Spa Pool | Community Sky Garden | Renovated | Park/greenery View | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",590,NA,1.3157339,103.8459614,"street_address"
24,"Duo Residences","Apartment","$4,347,088","$2,361 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",3,"Partially Furnished","41","1,841 sqft (Built-up)","LEASEHOLD/99 years",660,"Patio Gym | Outdoor Living Room | Children's Pool | 50M Lap Pool With Spa Seats | Teppanyaki Terraces | Function Room | Jacuzzi | Gymnasium | Sky Pool | Reflective Pool | Sun Deck | Aqua Gym Equipment | Kid's Play Area | Original Condition | City View | Air Conditioning | Intercom | Cooker Hob/hood | Balcony","Alex Goh",160,NA,1.2997066,103.8582392,"street_address"
25,"6 Derbyshire","Condominium","$1,082,000","$2,283 psf (Built-up)",2017,"Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1",1,"Partially Furnished","24","474 sqft (Built-up)","FREEHOLD",168,"Spa Pool | Pavilion | Simming Pool | Reflective Pool | Gymnasium | Children Playground | Bbq Pits | Community Sky Garden | Swimming Pool View | Renovated | Park/greenery View | City View | Air Conditioning | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Kane Seow K H",590,NA,1.3157339,103.8459614,"street_address"
26,"Marina One Residences","Apartment","$3,558,180","$2,312 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",2,"Partially Furnished","04","1,539 sqft (Built-up)","LEASEHOLD/99 years",1042,"Park/greenery View | Sea View | City View | Swimming Pool View | Air Conditioning | Corner Unit | Private Pool | Intercom | Cooker Hob/hood | Air Conditioning | Balcony | Roof Terrace | Outdoor Patio | Private Garden | Terrace | Walk-in-wardrobe","Ryner Koh",140,NA,1.280042,103.855291,"establishment"
27,"Laverne's Loft","Apartment","$1,300,000","$1,041 psf (Built-up)",2013,"Penthouse","Asimont Holdings Pte Ltd","66 Lorong L Telok Kurau (425509)","D15 - East Coast / Marine Parade","2",2,NA,"05","1,249 sqft (Built-up)","FREEHOLD",44,"Renovated | City View | Jacuzzi | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Steven Lau",780,NA,1.3112504,103.9102188,"premise"
28,"The Crest","Condominium","$3,033,000","$1,829 psf (Built-up)",2018,"Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","4",4,"Partially Furnished","13","1,658 sqft (Built-up)","LEASEHOLD/99 years",469,"Park/greenery View | Original Condition | Corner Unit | Intercom | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",540,NA,1.2926928,103.8204034,"premise"
29,"The Crest","Condominium","$3,130,000","$1,806 psf (Built-up)",2017,"Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","4",NA,NA,"23","1,733 sqft (Built-up)","LEASEHOLD/99 years",469,"Swimming Pool View | Renovated | Corner Unit | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Koh Li Li",540,NA,1.2926928,103.8204034,"premise"
30,"Gem Residences","Condominium","$1,760,000","$1,409 psf (Built-up)",2020,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","4",3,"Partially Furnished","18","1,249 sqft (Built-up)","LEASEHOLD/99 years",578,"Swimming Pool View | Renovated | Cooker Hob/hood | Air Conditioning | Balcony | Roof Terrace","Nicholas Woo W Z",570,NA,1.3336887,103.8531666,"street_address"
31,"Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)",2017,"Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","11 Mount Sophia (228461)","D9 - Orchard / River Valley","3",2,"Partially Furnished","04","958 sqft (Built-up)","LEASEHOLD/99 years",493,"Management Office | Reflective Pool | Toddler's Playground | The Sophia Mirror Pool | Bin Centre | Conserved Building: Restaurant | 50M Lap Pool | Water Wall | Timber Deck | Pavilion | Vantage Deck | Seating Corner | Lagoon Pool | Sunning Deck | Steps Cascades | Mountain Terraces | Bio-pond | Children's Water Play | Gymnasium | Lounge | Yoga Decks | Games Room | Bbq Corner | Male And Female Changing And Steam Rooms | Childcare Drop-off Plaza | Clubhouse Drop-off Plaza | Conserved Building: Childcare/kindergarten | Adventure Playground | Jacuzzi | Residents' Side Gate | Water Cascades | Guardhouse | Internet Corner | Children's Pool | Fitness Stations | Multi-purpose Media Room | The Sophia Grand Staircase | Function Rooms | Substation | Jogging Path | Main Entrance Drop-off Plaza | Park/greenery View | Original Condition | City View | Water Heater | Air Conditioning | Cooker Hob/hood | Intercom | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian",270,NA,1.30019,103.8470706,"street_address"
32,"Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)",2017,"Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","11 Mount Sophia (228461)","D9 - Orchard / River Valley","3",2,"Partially Furnished","04","958 sqft (Built-up)","LEASEHOLD/99 years",493,"Conserved Building: Restaurant | Adventure Playground | Vantage Deck | Management Office | Lagoon Pool | Toddler's Playground | Lounge | Games Room | 50M Lap Pool | Residents' Side Gate | Clubhouse Drop-off Plaza | Main Entrance Drop-off Plaza | Steps Cascades | Reflective Pool | Internet Corner | Timber Deck | Gymnasium | Jacuzzi | Substation | Yoga Decks | Sunning Deck | Children's Pool | Multi-purpose Media Room | Guardhouse | Seating Corner | Water Wall | Jogging Path | Mountain Terraces | Function Rooms | Fitness Stations | Conserved Building: Childcare/kindergarten | Childcare Drop-off Plaza | The Sophia Mirror Pool | Pavilion | Male And Female Changing And Steam Rooms | Water Cascades | Children's Water Play | Bin Centre | Bio-pond | Bbq Corner | The Sophia Grand Staircase | Park/greenery View | Original Condition | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",270,NA,1.30019,103.8470706,"street_address"
33,"Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",2,"Partially Furnished","28","1,119 sqft (Built-up)","LEASEHOLD/99 years",1042,"Renovated | Park/greenery View | Original Condition | Intercom | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",140,NA,1.280042,103.855291,"establishment"
34,"Corals At Keppel Bay","Condominium","$1,539,000","$2,270 psf (Built-up)",2018,"Condominium","Keppel Bay Pte Ltd","19 Keppel Bay Drive (098021)","D4 - Sentosa / Harbourfront","1",2,"Not Furnished","04","678 sqft (Built-up)","LEASEHOLD/99 years",366,"Reflective Pools | 50M Lap Pool | Play Area | Pathway / Forest Walk | Public Promenade | Changing Rooms | Tennis Court | Water Feature | Bbq Area | Kid's Pool / Splash Pool With Jumping Jets | Jacuzzi / Hydro Spa | Clubhouse | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian",570,NA,1.2670693,103.8171989,"street_address"
35,"The Crest","Condominium","$2,133,000","$2,279 psf (Built-up)",2018,"Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","2",2,"Partially Furnished","13","936 sqft (Built-up)","LEASEHOLD/99 years",469,"Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",540,NA,1.2926928,103.8204034,"premise"
36,"Corals At Keppel Bay","Condominium","$1,539,000","$2,270 psf (Built-up)",2018,"Condominium","Keppel Bay Pte Ltd","19 Keppel Bay Drive (098021)","D4 - Sentosa / Harbourfront","1",5,"Not Furnished","04","678 sqft (Built-up)","LEASEHOLD/99 years",366,"Water Feature | Bbq Area | Changing Rooms | Pathway / Forest Walk | Play Area | Jacuzzi / Hydro Spa | Kid's Pool / Splash Pool With Jumping Jets | 50M Lap Pool | Tennis Court | Reflective Pools | Public Promenade | Clubhouse | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Henry Lim (MBA, EXPERT-SRX)",570,NA,1.2670693,103.8171989,"street_address"
37,"Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","78 Upper Serangoon View (533879)","D19 - Hougang / Punggol / Sengkang","3",2,"Partially Furnished","08","850 sqft (Built-up)","LEASEHOLD/99 years",1165,"Renovated | Swimming Pool View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Sn Jana",970,NA,1.3738557,103.9022723,"street_address"
38,"Kingsford Waterbay","Apartment","$1,147,826","$1,333 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","76 Upper Serangoon View (533884)","D19 - Hougang / Punggol / Sengkang","3",6,NA,"14","861 sqft (Built-up)","LEASEHOLD/99 years",1165,"Swimming Pool View | Air Conditioning | Cooker Hob/hood | Intercom | Balcony","Agnes Yap L L",1140,NA,1.3738557,103.9022723,"street_address"
39,"Duo Residences","Apartment","$4,331,300","$2,353 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4",4,NA,"40","1,841 sqft (Built-up)","LEASEHOLD/99 years",660,"Sky Pool | Teppanyaki Terraces | Outdoor Living Room | Sun Deck | Aqua Gym Equipment | Patio Gym | Jacuzzi | 50M Lap Pool With Spa Seats | Children's Pool | Function Room | Kid's Play Area | Gymnasium | Reflective Pool | Swimming Pool View | City View | Renovated | Air Conditioning | Bathtub | Cooker Hob/hood | Intercom | Water Heater | Balcony | Maidsroom","Agnes Yap L L",160,NA,1.2997066,103.8582392,"street_address"
40,"Marina One Residences","Apartment","$5,528,000","$2,457 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4",4,"Partially Furnished","07","2,250 sqft (Built-up)","LEASEHOLD/99 years",1042,"Park/greenery View | Sea View | City View | Air Conditioning | Corner Unit | Private Pool | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Private Garden | Walk-in-wardrobe | Terrace | Garage","Ryner Koh",140,NA,1.280042,103.855291,"establishment"
41,"Kingsford Waterbay","Apartment","$1,115,341","$1,619 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","72 Upper Serangoon View (533882)","D19 - Hougang / Punggol / Sengkang","3",2,"Partially Furnished","13","689 sqft (Built-up)","LEASEHOLD/99 years",1165,"Park/greenery View | Air Conditioning | Cooker Hob/hood | Intercom | Water Heater | Balcony","Jeremy Lee C W",1080,NA,1.3738557,103.9022723,"street_address"
42,"Duo Residences","Apartment","$3,510,000","$1,821 psf (Built-up)",2017,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3+1",1,"Fully Furnished","40","1,927 sqft (Built-up)","LEASEHOLD/99 years",660,"Teppanyaki Terraces | Gymnasium | 50M Lap Pool With Spa Seats | Sun Deck | Sky Pool | Reflective Pool | Outdoor Living Room | Patio Gym | Children's Pool | Jacuzzi | Function Room | Kid's Play Area | Aqua Gym Equipment | Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales",160,NA,1.2997066,103.8582392,"street_address"
43,"Marina One Residences","Apartment","$5,325,800","$2,367 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","23 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4+1",4,"Partially Furnished","30","2,250 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Hairdryer | Water Heater | Intercom | Cooker Hob/hood | Private Lift | Maidsroom | Balcony | Walk-in-wardrobe | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales",140,NA,1.280042,103.855291,"street_address"
44,"Marina One Residences","Apartment","$3,642,168","$2,399 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",3,"Fully Furnished","30","1,518 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales",140,NA,1.280042,103.855291,"establishment"
45,"Marina One Residences","Apartment","$2,520,550","$2,209 psf (Built-up)",2017,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",2,"Fully Furnished","06","1,141 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | City View | Renovated | Air Conditioning | Water Heater | Intercom | Hairdryer | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales",140,NA,1.280042,103.855291,"establishment"
46,"Marina One Residences","Apartment","$4,720,680","$3,067 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",2,"Partially Furnished","32","1,539 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | Colonial Building | Renovated | Air Conditioning | Hairdryer | Cooker Hob/hood | Balcony","Diana Chang",140,NA,1.280042,103.855291,"establishment"
47,"Marina One Residences","Apartment","$5,788,000","$2,572 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4",4,"Partially Furnished","12","2,250 sqft (Built-up)","LEASEHOLD/99 years",1042,"Corner Unit | Original Condition | Colonial Building | Renovated | Air Conditioning | Hairdryer | Cooker Hob/hood","Diana Chang",140,NA,1.280042,103.855291,"establishment"
