Movie,Distributor,Budget,US Gross,Worldwide Gross,Release Date
Chill Factor ,Warner Bros.,"$34,000,000 ","$11,263,966 ",Unknown,1/9/1999
I Dreamed of Africa ,Sony,"$34,000,000 ","$6,543,194 ",Unknown,5/5/2000
Reds ,Paramount Pictures,"$33,500,000 ","$50,000,000 ",Unknown,4/12/1981
A Few Good Men ,Sony,"$33,000,000 ","$141,340,178 ","$236,500,000 ",11/12/1992
Pushing Tin ,20th Century Fox,"$33,000,000 ","$8,408,835 ",Unknown,23/4/1999
Big Momma's House ,20th Century Fox,"$33,000,000 ","$117,559,438 ","$173,559,438 ",2/6/2000
The Watcher ,Universal,"$33,000,000 ","$28,946,615 ","$47,267,829 ",8/9/2000
Exit Wounds ,Warner Bros.,"$33,000,000 ","$51,758,599 ","$79,958,599 ",16/3/2001
The Punisher ,Artisan,"$33,000,000 ","$33,664,370 ","$54,664,370 ",16/4/2004
Goal! ,,"$33,000,000 ","$4,283,255 ","$27,610,873 ",12/5/2006
Snakes on a Plane ,New Line,"$33,000,000 ","$34,020,814 ","$62,020,814 ",18/8/2006
Doomsday ,Focus Features,"$33,000,000 ","$11,008,770 ","$21,621,188 ",14/3/2008
The Reader ,Weinstein Co.,"$33,000,000 ","$34,192,652 ","$106,107,610 ",10/12/2008
Star Wars Ep. VI: Return of the Jedi ,20th Century Fox,"$32,500,000 ","$309,205,079 ","$572,700,000 ",25/5/1983
Alive ,Buena Vista,"$32,000,000 ","$36,299,670 ",Unknown,15/1/1993
The Quick and the Dead ,Sony,"$32,000,000 ","$18,552,460 ",Unknown,10/2/1995
Phenomenon ,,"$32,000,000 ","$104,636,382 ","$142,836,382 ",5/7/1996
Bogus ,Warner Bros.,"$32,000,000 ","$4,357,406 ",Unknown,6/9/1996
Cats Don't Dance ,Warner Bros.,"$32,000,000 ","$3,588,602 ",Unknown,26/3/1997
Stigmata ,MGM/UA,"$32,000,000 ","$50,041,732 ","$89,441,732 ",10/9/1999
Bringing Out The Dead ,Paramount Pictures,"$32,000,000 ","$16,640,210 ",Unknown,22/10/1999
Cradle Will Rock ,Buena Vista,"$32,000,000 ","$2,899,970 ",Unknown,8/12/1999
Men of Honor ,20th Century Fox,"$32,000,000 ","$48,814,909 ","$82,339,483 ",10/11/2000
Snow Dogs ,Buena Vista,"$32,000,000 ","$81,150,692 ","$115,010,692 ",18/1/2002
Elf ,New Line,"$32,000,000 ","$173,398,518 ","$220,443,451 ",7/11/2003
Laws of Attraction ,New Line,"$32,000,000 ","$17,848,322 ","$29,948,322 ",30/4/2004
George and the Dragon ,,"$32,000,000 ",Unknown,Unknown,31/12/2004
The Transporter 2 ,20th Century Fox,"$32,000,000 ","$43,095,856 ","$85,095,856 ",2/9/2005
A History of Violence ,New Line,"$32,000,000 ","$31,493,782 ","$59,993,782 ",23/9/2005
Nacho Libre ,Paramount Pictures,"$32,000,000 ","$80,197,993 ","$99,197,993 ",16/6/2006
The Good German ,Warner Bros.,"$32,000,000 ","$1,308,696 ",Unknown,15/12/2006
The Number 23 ,New Line,"$32,000,000 ","$35,193,167 ","$76,593,167 ",23/2/2007
D-War ,Freestyle,"$32,000,000 ","$10,977,721 ","$79,915,361 ",14/9/2007
Out of Africa ,Universal,"$31,000,000 ","$79,096,868 ","$258,210,860 ",18/12/1985
Arachnophobia ,Buena Vista,"$31,000,000 ","$53,208,180 ",Unknown,18/7/1990
Frequency ,New Line,"$31,000,000 ","$44,983,704 ","$68,079,671 ",28/4/2000
Hearts in Atlantis ,Warner Bros.,"$31,000,000 ","$24,185,781 ","$30,885,781 ",28/9/2001
Get Shorty ,MGM/UA,"$30,250,000 ","$72,021,008 ","$115,021,008 ",20/10/1995
Ghostbusters ,Columbia,"$30,000,000 ","$238,632,124 ","$291,632,124 ",8/6/1984
A View to a Kill ,MGM/UA,"$30,000,000 ","$50,327,960 ","$152,627,960 ",24/5/1985
Howard the Duck ,Universal,"$30,000,000 ","$16,295,774 ",Unknown,1/8/1986
Little Shop of Horrors ,Warner Bros.,"$30,000,000 ","$38,747,385 ",Unknown,19/12/1986
The Running Man ,,"$30,000,000 ","$38,122,000 ",Unknown,13/11/1987
Midnight Run ,Universal,"$30,000,000 ","$38,413,606 ","$81,613,606 ",20/7/1988
Star Trek V: The Final Frontier ,Paramount Pictures,"$30,000,000 ","$52,210,049 ","$70,200,000 ",9/6/1989
Black Rain ,Paramount Pictures,"$30,000,000 ","$45,892,212 ",Unknown,22/9/1989
The Hunt for Red October ,Paramount Pictures,"$30,000,000 ","$120,709,866 ","$200,500,000 ",2/3/1990
The Addams Family ,Paramount Pictures,"$30,000,000 ","$113,502,246 ","$191,502,246 ",22/11/1991
The Prince of Tides ,Columbia,"$30,000,000 ","$74,787,599 ",Unknown,25/12/1991
Naked Gun 33 1/3: The Final Insult ,Paramount Pictures,"$30,000,000 ","$51,041,856 ",Unknown,18/3/1994
Speed ,,"$30,000,000 ","$121,248,145 ","$283,200,000 ",10/6/1994
Legends of the Fall ,Sony,"$30,000,000 ","$66,502,573 ",Unknown,23/12/1994
Virtuosity ,Paramount Pictures,"$30,000,000 ","$23,998,226 ",Unknown,4/8/1995
Babe ,Universal,"$30,000,000 ","$63,658,910 ","$246,100,000 ",4/8/1995
Se7en ,New Line,"$30,000,000 ","$100,125,643 ","$328,125,643 ",22/9/1995
Ace Ventura: When Nature Calls ,Warner Bros.,"$30,000,000 ","$108,360,063 ","$212,400,000 ",10/11/1995
Toy Story ,Buena Vista,"$30,000,000 ","$191,796,233 ","$361,996,233 ",22/11/1995
Fled ,MGM/UA,"$30,000,000 ","$17,192,205 ","$19,892,205 ",19/7/1996
The First Wives Club ,Paramount Pictures,"$30,000,000 ","$105,489,203 ","$181,489,203 ",20/9/1996
Mortal Kombat: Annihilation ,,"$30,000,000 ","$35,927,406 ","$51,327,406 ",21/11/1997
The Replacement Killers ,Sony,"$30,000,000 ","$19,035,741 ",Unknown,6/2/1998
Bulworth ,20th Century Fox,"$30,000,000 ","$26,528,684 ","$29,203,383 ",15/5/1998
Hope Floats ,20th Century Fox,"$30,000,000 ","$60,110,313 ","$81,529,000 ",29/5/1998
One True Thing ,Universal,"$30,000,000 ","$23,337,196 ","$26,708,196 ",18/9/1998
In Dreams ,DreamWorks SKG,"$30,000,000 ","$12,017,369 ",Unknown,15/1/1999
Gloria ,Sony,"$30,000,000 ","$4,167,493 ","$4,967,493 ",22/1/1999
Message in a Bottle ,Warner Bros.,"$30,000,000 ","$52,880,016 ",Unknown,12/2/1999
Analyze This ,Warner Bros.,"$30,000,000 ","$106,885,658 ","$176,885,658 ",5/3/1999
Wing Commander ,20th Century Fox,"$30,000,000 ","$11,578,022 ",Unknown,12/3/1999
Big Daddy ,Sony,"$30,000,000 ","$163,479,795 ","$234,779,795 ",25/6/1999
Pokemon 2000 ,Warner Bros.,"$30,000,000 ","$43,746,923 ","$133,946,923 ",21/7/2000
Remember the Titans ,Buena Vista,"$30,000,000 ","$115,654,751 ","$136,706,683 ",29/9/2000
Rugrats in Paris ,Paramount Pictures,"$30,000,000 ","$76,501,438 ","$103,284,813 ",17/11/2000
Antitrust ,MGM/UA,"$30,000,000 ","$10,965,209 ",Unknown,12/1/2001
Down to Earth ,Paramount Pictures,"$30,000,000 ","$64,172,251 ","$71,172,251 ",16/2/2001
Blow ,New Line,"$30,000,000 ","$52,990,775 ","$83,282,296 ",6/4/2001
What's the Worst That Could Happen? ,MGM/UA,"$30,000,000 ","$32,267,774 ","$38,462,071 ",1/6/2001
The Princess Diaries ,Buena Vista,"$30,000,000 ","$108,244,774 ","$165,334,774 ",3/8/2001
American Pie 2 ,Universal,"$30,000,000 ","$145,096,820 ","$286,500,000 ",10/8/2001
Like Mike ,20th Century Fox,"$30,000,000 ","$51,432,423 ","$62,432,423 ",3/7/2002
Eight Legged Freaks ,Warner Bros.,"$30,000,000 ","$17,266,505 ",Unknown,17/7/2002
Blue Crush ,Universal,"$30,000,000 ","$40,118,420 ","$51,327,420 ",16/8/2002
Trapped ,Sony,"$30,000,000 ","$6,916,869 ",Unknown,20/9/2002
About Schmidt ,New Line,"$30,000,000 ","$65,005,217 ","$105,823,486 ",13/12/2002
Chicago ,Miramax,"$30,000,000 ","$170,687,518 ","$307,687,518 ",27/12/2002
The Good Thief ,Fox Searchlight,"$30,000,000 ","$3,517,797 ",Unknown,2/4/2003
Dumb and Dumberer: When Harry Met Lloyd ,New Line,"$30,000,000 ","$26,214,846 ",Unknown,13/6/2003
Alex & Emma ,Warner Bros.,"$30,000,000 ","$14,208,384 ","$15,358,583 ",20/6/2003
Secondhand Lions ,New Line,"$30,000,000 ","$42,023,715 ","$47,855,342 ",19/9/2003
Mystic River ,Warner Bros.,"$30,000,000 ","$90,135,191 ","$156,835,191 ",8/10/2003
The Prince & Me ,Paramount Pictures,"$30,000,000 ","$28,165,882 ","$29,356,757 ",2/4/2004
The Whole Ten Yards ,Warner Bros.,"$30,000,000 ","$16,323,969 ","$26,323,969 ",9/4/2004
13 Going On 30 ,Sony,"$30,000,000 ","$57,139,723 ","$96,439,723 ",23/4/2004
Godsend ,Lion's Gate,"$30,000,000 ","$14,334,645 ","$16,910,708 ",30/4/2004
Dodgeball: A True Underdog Story ,20th Century Fox,"$30,000,000 ","$114,326,736 ","$167,726,736 ",18/6/2004
The Notebook ,New Line,"$30,000,000 ","$81,001,787 ","$102,276,787 ",25/6/2004
Little Black Book ,Sony,"$30,000,000 ","$20,422,207 ","$21,758,371 ",6/8/2004
Without a Paddle ,Paramount Pictures,"$30,000,000 ","$58,156,435 ","$65,121,280 ",20/8/2004
Wicker Park ,MGM/UA,"$30,000,000 ","$12,831,121 ","$13,400,080 ",3/9/2004
Mr. 3000 ,Buena Vista,"$30,000,000 ","$21,800,302 ","$21,827,296 ",17/9/2004
First Daughter ,20th Century Fox,"$30,000,000 ","$9,055,010 ","$10,419,084 ",24/9/2004
Friday Night Lights ,Universal,"$30,000,000 ","$61,255,921 ","$61,950,770 ",8/10/2004
SpongeBob SquarePants ,Paramount Pictures,"$30,000,000 ","$85,416,609 ","$140,416,609 ",19/11/2004
Million Dollar Baby ,Warner Bros.,"$30,000,000 ","$100,492,203 ","$216,763,646 ",15/12/2004
The Merchant of Venice ,Sony Classics,"$30,000,000 ","$3,765,585 ","$18,765,585 ",29/12/2004
White Noise ,Universal,"$30,000,000 ","$56,094,360 ","$92,094,360 ",7/1/2005
Racing Stripes ,Warner Bros.,"$30,000,000 ","$49,772,522 ","$93,772,522 ",14/1/2005
Assault On Precinct 13 ,Focus Features,"$30,000,000 ","$20,040,895 ","$36,040,895 ",19/1/2005
Four Brothers ,Paramount Pictures,"$30,000,000 ","$74,494,381 ","$92,494,381 ",12/8/2005
Supercross ,20th Century Fox,"$30,000,000 ","$3,102,550 ","$3,252,550 ",17/8/2005
The Cave ,Sony,"$30,000,000 ","$15,007,991 ","$27,147,991 ",26/8/2005
An Unfinished Life ,Sony,"$30,000,000 ","$8,535,575 ","$18,535,575 ",9/9/2005
The Corpse Bride ,Warner Bros.,"$30,000,000 ","$53,359,111 ","$117,359,111 ",16/9/2005
Wallace & Gromit: The Curse of the Were-Rabbit ,DreamWorks SKG,"$30,000,000 ","$56,068,547 ","$185,724,838 ",5/10/2005
North Country ,Warner Bros.,"$30,000,000 ","$18,324,242 ","$23,624,242 ",21/10/2005
The New World ,New Line,"$30,000,000 ","$12,712,093 ","$26,184,400 ",25/12/2005
Ultraviolet ,Sony,"$30,000,000 ","$18,522,064 ","$20,722,064 ",3/3/2006
Take the Lead ,New Line,"$30,000,000 ","$34,742,066 ","$65,742,066 ",7/4/2006
Wu ji ,,"$30,000,000 ","$669,625 ","$35,869,934 ",5/5/2006
Gridiron Gang ,Sony,"$30,000,000 ","$38,432,823 ","$41,480,851 ",15/9/2006
Stranger Than Fiction ,,"$30,000,000 ","$40,435,190 ","$45,235,190 ",10/11/2006
Miss Potter ,Weinstein Co.,"$30,000,000 ","$3,005,605 ","$35,025,861 ",29/12/2006
Goodbye Bafana ,,"$30,000,000 ",Unknown,"$2,717,302 ",13/4/2007
DOA: Dead or Alive ,Dimension,"$30,000,000 ","$480,314 ","$2,670,860 ",15/6/2007
The Assassination of Jesse James by the Coward Robert Ford ,Warner Bros.,"$30,000,000 ","$3,909,149 ","$15,001,776 ",21/9/2007
30 Days of Night ,Sony,"$30,000,000 ","$39,568,996 ","$75,066,323 ",19/10/2007
Atonement ,Focus Features,"$30,000,000 ","$50,980,159 ","$128,448,676 ",7/12/2007
Meet the Spartans ,20th Century Fox,"$30,000,000 ","$38,233,676 ","$84,646,831 ",25/1/2008
88 Minutes ,,"$30,000,000 ","$16,930,884 ","$32,955,399 ",18/4/2008
Igor ,Weinstein Co.,"$30,000,000 ","$19,528,188 ","$26,608,350 ",19/9/2008
Pride and Glory ,New Line,"$30,000,000 ","$15,740,721 ","$43,440,721 ",24/10/2008
Bride Wars ,20th Century Fox,"$30,000,000 ","$58,715,510 ","$115,150,424 ",9/1/2009
Drag Me To Hell ,,"$30,000,000 ","$42,100,625 ","$85,724,728 ",29/5/2009
District 9 ,Sony,"$30,000,000 ","$115,646,235 ","$203,646,235 ",14/8/2009
9,Focus Features,"$30,000,000 ","$31,749,894 ","$46,603,791 ",9/9/2009
The Imaginarium of Doctor Parnassus ,,"$30,000,000 ","$6,414,678 ","$47,494,678 ",25/12/2009
Barney's Version ,,"$30,000,000 ",Unknown,Unknown,31/12/2010
Twelve Monkeys ,Universal,"$29,000,000 ","$57,141,459 ","$168,841,459 ",27/12/1995
The Borrowers ,Polygram Films,"$29,000,000 ","$22,619,589 ","$52,619,589 ",13/2/1998
Keeping the Faith ,Buena Vista,"$29,000,000 ","$37,036,404 ","$45,336,404 ",14/4/2000
Serving Sara ,Paramount Pictures,"$29,000,000 ","$16,930,185 ","$20,146,150 ",23/8/2002
Confessions of a Dangerous Mind ,Miramax,"$29,000,000 ","$16,007,718 ","$21,696,792 ",31/12/2002
Once Upon a Time in Mexico ,Columbia,"$29,000,000 ","$56,330,657 ","$98,156,459 ",12/9/2003
Seed of Chucky ,Focus Features,"$29,000,000 ","$17,016,190 ","$24,716,190 ",12/11/2004
Walk the Line ,20th Century Fox,"$29,000,000 ","$119,519,402 ","$184,319,402 ",18/11/2005
Frost/Nixon ,Universal,"$29,000,000 ","$18,622,031 ","$26,870,381 ",5/12/2008
Taking Woodstock ,Focus Features,"$29,000,000 ","$7,460,204 ","$9,966,833 ",28/8/2009
Mumford ,Buena Vista,"$28,700,000 ","$4,559,569 ",Unknown,24/9/1999
The Jacket ,Warner Independent Pictures,"$28,500,000 ","$6,301,131 ","$15,452,978 ",4/3/2005
For Your Eyes Only ,MGM/UA,"$28,000,000 ","$54,800,000 ","$195,300,000 ",26/6/1981
Blade Runner ,Warner Bros.,"$28,000,000 ","$32,656,328 ","$33,139,618 ",25/6/1982
Indiana Jones and the Temple of Doom ,Paramount Pictures,"$28,000,000 ","$179,880,271 ","$333,080,271 ",23/5/1984
Die Hard ,20th Century Fox,"$28,000,000 ","$81,350,242 ","$139,109,346 ",15/7/1988
Aladdin ,Buena Vista,"$28,000,000 ","$217,350,219 ","$504,050,219 ",11/11/1992
Hocus Pocus ,Buena Vista,"$28,000,000 ","$39,360,491 ",Unknown,16/7/1993
Timecop ,Universal,"$28,000,000 ","$44,853,581 ","$102,053,581 ",16/9/1994
Rob Roy ,MGM/UA,"$28,000,000 ","$31,390,587 ",Unknown,7/4/1995
A Simple Wish ,,"$28,000,000 ","$8,165,213 ",Unknown,11/7/1997
Kundun ,Buena Vista,"$28,000,000 ","$5,686,694 ",Unknown,25/12/1997
The Rugrats Movie ,Paramount Pictures,"$28,000,000 ","$100,494,685 ","$140,894,685 ",20/11/1998
"Mystery, Alaska ",Buena Vista,"$28,000,000 ","$8,891,623 ",Unknown,1/10/1999
Lost Souls ,New Line,"$28,000,000 ","$16,779,636 ","$31,320,293 ",13/10/2000
Dracula 2000 ,Miramax,"$28,000,000 ","$33,000,377 ",Unknown,22/12/2000
The Wedding Planner ,Sony,"$28,000,000 ","$60,400,856 ","$94,728,529 ",26/1/2001
Along Came a Spider ,Paramount Pictures,"$28,000,000 ","$74,058,698 ","$105,159,085 ",6/4/2001
John Carpenter's Ghosts of Mars ,Sony/Gems,"$28,000,000 ","$8,434,601 ",Unknown,24/8/2001
Zoolander ,Paramount Pictures,"$28,000,000 ","$45,172,250 ","$60,780,981 ",28/9/2001
Serendipity ,Miramax,"$28,000,000 ","$50,255,310 ","$75,294,136 ",5/10/2001
The Royal Tenenbaums ,Buena Vista,"$28,000,000 ","$52,353,636 ","$71,430,876 ",14/12/2001
Identity ,Sony,"$28,000,000 ","$52,131,264 ","$90,231,264 ",25/4/2003
The Miracle ,Buena Vista,"$28,000,000 ","$64,378,093 ","$64,445,708 ",6/2/2004
Dawn of the Dead ,Universal,"$28,000,000 ","$58,990,765 ","$96,990,765 ",19/3/2004
Pride and Prejudice ,Focus Features,"$28,000,000 ","$38,372,662 ","$121,372,662 ",11/11/2005
Just My Luck ,20th Century Fox,"$28,000,000 ","$17,326,650 ","$38,326,650 ",12/5/2006
No Reservations ,Warner Bros.,"$28,000,000 ","$43,107,979 ","$92,107,979 ",27/7/2007
We Own the Night ,Universal,"$28,000,000 ","$28,563,179 ","$54,700,285 ",12/10/2007
Alatriste ,,"$28,000,000 ",Unknown,"$22,860,477 ",31/12/2007
How to Lose Friends & Alienate People ,,"$28,000,000 ","$2,775,593 ","$12,031,443 ",3/10/2008
Octopussy ,MGM/UA,"$27,500,000 ","$67,900,000 ","$187,500,000 ",10/6/1983
Knocked Up ,Universal,"$27,500,000 ","$148,761,765 ","$218,994,109 ",1/6/2007
Rendition ,New Line,"$27,500,000 ","$9,736,045 ","$20,437,142 ",19/10/2007
Welcome Home Roscoe Jenkins ,Universal,"$27,500,000 ","$42,436,517 ","$43,607,627 ",8/2/2008
My Sister's Keeper ,Sony,"$27,500,000 ","$49,200,230 ","$83,311,181 ",26/6/2009
The Blues Brothers ,Universal,"$27,000,000 ","$57,229,890 ",Unknown,20/6/1980
The Right Stuff ,Warner Bros.,"$27,000,000 ","$21,500,000 ",Unknown,21/10/1983
Die Unendliche Geschichte ,Warner Bros.,"$27,000,000 ","$21,300,000 ",Unknown,20/7/1984
Return to Oz ,Buena Vista,"$27,000,000 ","$10,618,813 ",Unknown,21/6/1985
Star Trek VI: The Undiscovered Country ,Paramount Pictures,"$27,000,000 ","$74,888,996 ","$96,900,000 ",6/12/1991
The Jungle Book ,Buena Vista,"$27,000,000 ","$44,342,956 ",Unknown,23/12/1994
Kiss the Girls ,Paramount Pictures,"$27,000,000 ","$60,527,873 ",Unknown,3/10/1997
Dark City ,New Line,"$27,000,000 ","$14,435,076 ","$27,257,061 ",27/2/1998
The Newton Boys ,20th Century Fox,"$27,000,000 ","$10,341,093 ",Unknown,27/3/1998
Lake Placid ,20th Century Fox,"$27,000,000 ","$31,770,413 ",Unknown,16/7/1999
Flawless ,MGM/UA,"$27,000,000 ","$4,485,485 ",Unknown,24/11/1999
About a Boy ,Universal,"$27,000,000 ","$40,803,000 ","$129,803,000 ",17/5/2002
The Divine Secrets of the Ya-Ya Sisterhood ,Warner Bros.,"$27,000,000 ","$69,586,544 ","$73,826,768 ",7/6/2002
Formula 51 ,Sony/Screen Gems,"$27,000,000 ","$5,204,007 ",Unknown,18/10/2002
The Statement ,Sony,"$27,000,000 ","$765,637 ","$1,545,064 ",12/12/2003
Suspect Zero ,Paramount Pictures,"$27,000,000 ","$8,712,564 ",Unknown,27/8/2004
Mindhunters ,Dimension,"$27,000,000 ","$4,476,235 ","$16,566,235 ",13/5/2005
The Honeymooners ,Paramount Pictures,"$27,000,000 ","$12,834,849 ","$13,174,426 ",10/6/2005
Lucky Number Slevin ,Weinstein Co.,"$27,000,000 ","$22,495,466 ","$55,495,466 ",7/4/2006
The Martian Child ,New Line,"$27,000,000 ","$7,500,310 ","$9,076,823 ",2/11/2007
The Sisterhood of the Traveling Pants 2 ,Warner Bros.,"$27,000,000 ","$44,089,964 ","$44,154,645 ",6/8/2008
What Just Happened ,,"$27,000,000 ","$1,090,947 ","$2,412,123 ",17/10/2008
The Magic Flute ,,"$27,000,000 ",Unknown,Unknown,31/12/2010
Silverado ,Columbia,"$26,000,000 ","$33,200,000 ",Unknown,10/7/1985
Flatliners ,Columbia,"$26,000,000 ","$61,308,153 ",Unknown,10/8/1990
Kindergarten Cop ,Universal,"$26,000,000 ","$91,457,688 ","$202,000,000 ",21/12/1990
Philadelphia ,Sony,"$26,000,000 ","$77,324,422 ","$201,300,000 ",22/12/1993
Highlander III: The Sorcerer ,Miramax,"$26,000,000 ","$13,738,574 ",Unknown,27/1/1995
Blood and Wine ,Fox Searchlight,"$26,000,000 ","$1,083,350 ",Unknown,21/2/1997
Ever After: A Cinderella Story ,20th Century Fox,"$26,000,000 ","$65,705,772 ",Unknown,31/7/1998
Shakespeare in Love ,Miramax,"$26,000,000 ","$100,317,794 ","$279,500,000 ",11/12/1998
"O Brother, Where Art Thou ",Buena Vista,"$26,000,000 ","$45,506,619 ","$74,506,619 ",22/12/2000
Original Sin ,MGM/UA,"$26,000,000 ","$16,521,410 ",Unknown,3/8/2001
The Curse of the Jade Scorpion ,DreamWorks SKG,"$26,000,000 ","$7,496,522 ","$18,496,522 ",24/8/2001
Clockstoppers ,Paramount Pictures,"$26,000,000 ","$36,985,501 ","$38,788,828 ",29/3/2002
Final Destination 2 ,New Line,"$26,000,000 ","$46,896,664 ","$89,626,226 ",31/1/2003
Freaky Friday ,Buena Vista,"$26,000,000 ","$110,222,438 ","$160,822,438 ",6/8/2003
Open Range ,Buena Vista,"$26,000,000 ","$58,328,680 ","$68,293,719 ",15/8/2003
Welcome to Mooseport ,20th Century Fox,"$26,000,000 ","$14,469,428 ",Unknown,20/2/2004
Agent Cody Banks 2: Destination London ,MGM/UA,"$26,000,000 ","$23,514,247 ","$28,703,083 ",12/3/2004
In Good Company ,Universal,"$26,000,000 ","$45,489,752 ","$63,489,752 ",29/12/2004
Red-Eye ,DreamWorks SKG,"$26,000,000 ","$57,891,803 ","$95,891,803 ",19/8/2005
The 40 Year-old Virgin ,Universal,"$26,000,000 ","$109,449,237 ","$177,339,049 ",19/8/2005
The Pineapple Express ,Sony,"$26,000,000 ","$87,341,380 ","$100,941,380 ",6/8/2008
Paul Blart: Mall Cop ,Paramount Pictures,"$26,000,000 ","$146,336,178 ","$180,449,670 ",16/1/2009
Legion ,Sony,"$26,000,000 ","$30,241,387 ","$31,341,387 ",22/1/2010
The Constant Gardener ,Focus Features,"$25,500,000 ","$33,579,798 ","$81,079,798 ",31/8/2005
W. ,Lion's Gate,"$25,100,000 ","$25,534,493 ","$28,575,778 ",17/10/2008
Scarface ,Universal,"$25,000,000 ","$44,942,821 ",Unknown,9/12/1983
Sheena ,Columbia,"$25,000,000 ","$5,778,353 ",Unknown,17/8/1984
Lifeforce ,TriStar Pictures,"$25,000,000 ","$11,603,545 ",Unknown,21/6/1985
Legend ,Universal,"$25,000,000 ","$15,502,112 ",Unknown,18/4/1986
The Untouchables ,Paramount Pictures,"$25,000,000 ","$76,270,454 ",Unknown,3/6/1987
The Last Emperor ,Columbia,"$25,000,000 ","$43,984,000 ",Unknown,20/11/1987
"Bright Lights, Big City ",,"$25,000,000 ","$16,118,077 ",Unknown,1/4/1988
Rain Man ,United Artists,"$25,000,000 ","$172,825,435 ","$412,800,000 ",16/12/1988
Goodfellas ,Warner Bros.,"$25,000,000 ","$46,743,809 ",Unknown,19/9/1990
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,New Line,"$25,000,000 ","$78,656,813 ",Unknown,22/3/1991
Stone Cold ,Sony,"$25,000,000 ","$9,286,314 ",Unknown,17/5/1991
Gettysburg ,New Line,"$25,000,000 ","$10,731,997 ",Unknown,8/10/1993
Mrs. Doubtfire ,20th Century Fox,"$25,000,000 ","$219,195,051 ","$441,286,003 ",24/11/1993
Schindler's List ,Universal,"$25,000,000 ","$96,067,179 ","$321,200,000 ",15/12/1993
Tombstone ,Buena Vista,"$25,000,000 ","$56,505,000 ",Unknown,25/12/1993
The Shawshank Redemption ,Sony,"$25,000,000 ","$28,241,469 ",Unknown,23/9/1994
Tank Girl ,,"$25,000,000 ","$4,064,333 ",Unknown,1/3/1995
Don Juan DeMarco ,New Line,"$25,000,000 ","$22,032,635 ",Unknown,7/4/1995
Mrs. Winterbourne ,Sony,"$25,000,000 ","$10,039,566 ",Unknown,19/4/1996
Kingpin ,MGM/UA,"$25,000,000 ","$25,023,424 ","$32,223,424 ",26/7/1996
The Adventures of Pinocchio ,New Line,"$25,000,000 ","$15,382,170 ","$36,682,170 ",26/7/1996
Maximum Risk ,Sony,"$25,000,000 ","$14,102,929 ","$51,702,929 ",13/9/1996
Michael Collins ,Warner Bros.,"$25,000,000 ","$11,092,559 ","$27,572,844 ",11/10/1996
Money Talks ,New Line,"$25,000,000 ","$41,076,865 ",Unknown,22/8/1997
Spiceworld ,Sony,"$25,000,000 ","$29,342,592 ","$56,042,592 ",23/1/1998
He Got Game ,Buena Vista,"$25,000,000 ","$21,567,853 ",Unknown,1/5/1998
Without Limits ,Warner Bros.,"$25,000,000 ","$780,326 ",Unknown,11/9/1998
Bride of Chucky ,Universal,"$25,000,000 ","$32,404,188 ","$50,692,188 ",16/10/1998
Elizabeth ,Gramercy,"$25,000,000 ","$30,082,699 ","$82,082,699 ",6/11/1998
Angela's Ashes ,Paramount Pictures,"$25,000,000 ","$13,038,660 ",Unknown,24/12/1999
The Next Best Thing ,Paramount Pictures,"$25,000,000 ","$14,983,572 ","$24,355,762 ",3/3/2000
Romeo Must Die ,Warner Bros.,"$25,000,000 ","$55,973,336 ","$91,036,760 ",22/3/2000
Chocolat ,Miramax,"$25,000,000 ","$71,309,760 ","$152,500,343 ",15/12/2000
Say It Isn't So ,20th Century Fox,"$25,000,000 ","$5,516,708 ",Unknown,23/3/2001
Bridget Jones's Diary ,Miramax,"$25,000,000 ","$71,500,556 ","$281,500,556 ",13/4/2001
Crocodile Dundee in Los Angeles ,Paramount Pictures,"$25,000,000 ","$25,590,119 ","$39,393,111 ",20/4/2001
Kiss of the Dragon ,20th Century Fox,"$25,000,000 ","$36,833,473 ",Unknown,6/7/2001
Jimmy Neutron: Boy Genius ,Paramount Pictures,"$25,000,000 ","$80,936,232 ","$102,992,536 ",21/12/2001
Undercover Brother ,Universal,"$25,000,000 ","$38,230,435 ",Unknown,31/5/2002
The Powerpuff Girls ,Warner Bros.,"$25,000,000 ","$11,411,644 ","$16,425,701 ",3/7/2002
Possession ,Focus Features,"$25,000,000 ","$10,103,647 ","$14,805,812 ",16/8/2002
Stealing Harvard ,Sony,"$25,000,000 ","$13,973,532 ",Unknown,13/9/2002
Punch-Drunk Love ,Sony,"$25,000,000 ","$17,791,031 ","$24,591,031 ",11/10/2002
Abandon ,Paramount Pictures,"$25,000,000 ","$10,719,367 ","$12,219,367 ",18/10/2002
Half Past Dead ,Sony,"$25,000,000 ","$15,567,860 ","$19,233,280 ",15/11/2002
The Wild Thornberrys ,Paramount Pictures,"$25,000,000 ","$40,108,697 ","$60,694,737 ",20/12/2002
The Hours ,Paramount Pictures,"$25,000,000 ","$41,675,994 ","$108,775,994 ",27/12/2002
Cradle 2 the Grave ,Warner Bros.,"$25,000,000 ","$34,657,731 ","$56,434,942 ",28/2/2003
Agent Cody Banks ,MGM/UA,"$25,000,000 ","$47,545,060 ","$58,240,458 ",14/3/2003
What a Girl Wants ,Warner Bros.,"$25,000,000 ","$35,990,505 ",Unknown,4/4/2003
Rugrats Go Wild ,Paramount Pictures,"$25,000,000 ","$39,402,572 ","$55,443,032 ",13/6/2003
